word,entropy
aahed,4.347619063233935
aalii,3.8308059628098876
aargh,4.056929362920191
aaron,4.7104511572206755
abaca,3.143002528187475
aback,3.4186187270610606
abacs,4.200721797787255
abada,3.1923981428718067
abaff,2.5935117638036913
abaft,3.5507355307255657
abaka,3.0021217134683855
aband,3.9041237868140817
abase,4.564389785256805
abash,3.9557330531271804
abask,3.853595850467326
abate,4.427918213026977
abaue,4.2550199921226675
abave,3.7599656992742387
abaya,3.0825999746126214
abaze,3.6461870478244998
abbas,3.574999732267467
abbey,3.9991538469405516
abbot,3.9192920145669765
abcee,4.170128634275274
abdal,3.850550933313246
abdat,3.8863301058816906
abdom,4.276567286649453
abeam,4.00082543680134
abear,4.385118995988432
abede,4.12390160539785
abele,4.34594722663073
abend,4.768367350944241
aberr,4.259603968475605
abets,5.3301463529550075
abhor,4.528123460612303
abide,4.921494139552193
abidi,3.7853836120390065
abied,4.9832147360939745
abies,5.532094682316073
abilo,4.812687579678492
abime,4.856727543882773
abkar,3.767438871623366
abled,4.9307751020499415
abler,5.155198797763203
ables,5.488144407947857
ablet,5.138999788560285
ablow,4.24755234497281
abmho,4.144494789057264
abner,5.153618236718195
abnet,5.126673052661586
abode,4.874785618688024
abody,4.398350063111666
abohm,4.1815713366308325
aboil,4.860208635493566
aboma,3.839938041825299
aboon,4.002644930948409
abord,4.744730208744061
abore,5.183383011967427
abort,4.927885622083743
abote,5.101578607502415
about,4.677808189530878
above,4.437215608418327
abram,3.947862076544367
abray,4.040580181644058
abret,5.2828096473764194
abrim,4.6949988172643
abrin,4.958174809861214
abris,5.356665320560652
absee,4.587888134555423
absey,5.025279542762001
absis,4.412322050600334
absit,5.027404536705889
abuna,3.9245024221067855
abune,4.907659384658624
abura,4.032661383491225
abuse,5.081930013286009
abush,4.495866529894584
abuts,5.011398184253232
abuzz,2.9112288890505376
abwab,2.621303575782428
abyed,4.612098739357889
abyes,5.146292699485677
abysm,4.312055259593807
abyss,3.9886643600623755
acale,4.548186870455418
acana,3.504977484535673
acapu,3.7082725282655393
acara,3.6147875364303967
acari,4.307572373822099
acast,4.392008844153686
acate,4.555124659891136
accoy,3.837801122711282
accra,3.412664026950023
accts,4.374111676231156
accum,3.565333675589297
