answer,guess1,guess2,guess3,guess4,guess5,guess6,attempts
kefir,tares,crine,redig,levir,kefir,,5
hosey,tares,soled,cosey,bosey,hosey,,5
accts,tares,coats,accts,,,,3
sowne,tares,sline,scone,somne,sowne,,5
wombs,tares,louis,ponks,combs,wombs,,5
coffs,tares,louis,ponks,combs,coffs,,5
vates,tares,bates,cates,dates,fates,gates,0
hurst,tares,sprit,hurst,,,,3
reist,tares,steri,reist,,,,3
doray,tares,moral,koran,doray,,,4
dotty,tares,pinot,louty,boxty,cooty,dotty,6
louts,tares,moits,polts,lofts,louts,,5
motey,tares,donet,hotel,motey,,,4
logic,tares,noily,folic,logic,,,4
barye,tares,garle,barde,barie,barye,,5
unice,tares,bonie,cline,unice,,,4
trade,tares,trade,,,,,2
goors,tares,irous,flors,khors,boors,doors,0
dumby,tares,noily,dumpy,dumby,,,4
tazze,tares,taube,tawie,tache,tazze,,5
isnad,tares,slain,disna,isnad,,,4
kibla,tares,aloin,milpa,hibla,kibla,,5
mudde,tares,bonie,plume,mudge,mudde,,5
panga,tares,manly,bandi,ganch,fango,kanga,0
rebob,tares,crine,rebuy,rebop,rebox,rebob,6
kombu,tares,noily,mouch,bogum,kombu,,5
moder,tares,oiler,coder,boder,foder,hoder,0
flisk,tares,soily,flisk,,,,3
tippy,tares,tomin,tichy,tilty,tibby,tiddy,0
aweto,tares,beant,atole,aweto,,,4
seism,tares,sline,seism,,,,3
foons,tares,louis,ponks,gowns,johns,boons,0
trapa,tares,train,tramp,trapa,,,4
fiked,tares,poled,fiked,,,,3
pooli,tares,noily,dooli,mooli,pooli,,5
yerks,tares,merks,berks,jerks,nerks,perks,0
sedan,tares,spale,siena,sedan,,,4
metel,tares,donet,cutey,vitex,betel,metel,6
dansk,tares,sandy,dansk,,,,3
sambo,tares,sandy,salmi,sambo,,,4
unbox,tares,noily,unbog,unbow,unbox,,5
sikar,tares,soary,sikar,,,,3
blazy,tares,aloin,flamy,glady,blazy,,5
ology,tares,noily,globy,ology,,,4
aleft,tares,beant,pleat,aleft,,,4
soare,tares,sware,scare,share,slare,snare,0
caped,tares,naled,mawed,caped,,,4
swink,tares,soily,swink,,,,3
engem,tares,poled,vimen,engem,,,4
senas,tares,leans,genas,senas,,,4
yucas,tares,loans,bimas,yugas,yucas,,5
belie,tares,bonie,belie,,,,3
unnet,tares,donet,lunet,unnet,,,4
shish,tares,soily,swink,smich,shish,,5
orang,tares,crain,grank,drang,orang,,5
serau,tares,serac,serab,serai,seral,serau,6
bache,tares,bange,baile,bache,,,4
paleo,tares,naled,paleo,,,,3
aches,tares,alces,aches,,,,3
swink,tares,soily,swink,,,,3
genty,tares,deity,lefty,benty,genty,,5
sniff,tares,soily,swink,sniff,,,4
lubed,tares,poled,flued,lubed,,,4
perns,tares,merks,perns,,,,3
tonic,tares,tomin,tonic,,,,3
telia,tares,tenla,telia,,,,3
soyuz,tares,soily,soyuz,,,,3
hiker,tares,oiler,diver,piner,bifer,mixer,0
focus,tares,louis,comus,focus,,,4
sulfo,tares,soily,snowl,sulfo,,,4
buick,tares,noily,quich,buick,,,4
pirns,tares,duros,girls,firks,pirns,,5
ovens,tares,nelis,ovens,,,,3
rears,tares,pears,bears,dears,fears,gears,0
coarb,tares,crain,chark,claro,coarb,,5
azoxy,tares,aloin,abody,azofy,azoxy,,5
curns,tares,duros,burls,curfs,curns,,5
taper,tares,taber,taker,taler,tamer,taper,6
warst,tares,darst,harst,karst,warst,,5
stets,tares,pents,diets,khets,blets,suets,0
tungs,tares,tonus,tunds,tungs,,,4
virgo,tares,duroy,corgi,virgo,,,4
hagar,tares,nairy,jalor,bahur,hagar,,5
gleit,tares,deity,lithe,enlit,gleit,,5
fives,tares,doles,pikes,vines,cives,fives,6
jatos,tares,bants,oaths,datos,jatos,,5
rayle,tares,raine,radge,rache,rayle,,5
cates,tares,bates,cates,,,,3
algal,tares,aloin,almud,alpax,alway,algal,6
valew,tares,naled,paleo,galey,balei,calef,0
apers,tares,pears,apers,,,,3
achar,tares,crain,achor,achar,,,4
wrack,tares,crain,brack,drack,frack,wrack,6
mamma,tares,manly,machi,mambu,mamma,,5
meter,tares,outer,diter,neter,meter,,5
apers,tares,pears,apers,,,,3
dukes,tares,doles,dunes,duces,dukes,,5
zaman,tares,manly,damon,gamin,caman,haman,0
chang,tares,aloin,muang,whang,bhang,chang,6
bakie,tares,bange,baile,bakie,,,4
guans,tares,loans,yuans,duans,guans,,5
nurds,tares,duros,burds,curds,hurds,nurds,6
slask,tares,slain,slack,slask,,,4
numud,tares,noily,nudzh,numud,,,4
cawky,tares,manly,gawby,cawky,,,4
kiley,tares,poled,kiley,,,,3
yomim,tares,noily,goyim,yomim,,,4
sadic,tares,sandy,salud,sadic,,,4
curns,tares,duros,burls,curfs,curns,,5
molto,tares,pinot,louty,molto,,,4
reaks,tares,pears,reads,reais,reaks,,5
ravel,tares,lager,ravel,,,,3
ermit,tares,greit,ermit,,,,3
pupal,tares,aloin,pubal,pupal,,,4
walth,tares,haint,latch,walth,,,4
scale,tares,spale,scale,,,,3
hoser,tares,soler,boser,doser,hoser,,5
porgy,tares,duroy,forky,porny,porgy,,5
shoal,tares,slain,solay,shoal,,,4
feign,tares,bonie,eking,deign,feign,,5
milky,tares,noily,pilmy,milky,,,4
utend,tares,deity,educt,utend,,,4
bando,tares,manly,bandi,bandh,bando,,5
curin,tares,duroy,curin,,,,3
agrah,tares,moral,unray,pirai,agrah,,5
almes,tares,alces,almes,,,,3
penny,tares,bonie,hendy,fenny,jenny,kenny,0
blawn,tares,aloin,blawn,,,,3
stash,tares,slait,staph,stash,,,4
umpty,tares,pinot,umpty,,,,3
spaes,tares,alces,spaes,,,,3
carer,tares,pared,carey,carex,carer,,5
yuked,tares,poled,fiked,yuked,,,4
akees,tares,alces,aides,agues,abyes,apses,0
ships,tares,louis,pinks,chips,whips,ships,6
soulx,tares,soily,soulx,,,,3
prees,tares,rides,orfes,grues,brees,prees,6
rummy,tares,irony,rumpy,rumly,rummy,,5
riser,tares,soler,miser,wiser,riser,,5
owrie,tares,bergy,ourie,owrie,,,4
subby,tares,soily,sudsy,subby,,,4
wasts,tares,bants,wafts,wadts,waits,wasts,6
amene,tares,plane,amine,amene,,,4
piped,tares,poled,pined,piked,pixed,piped,6
ideas,tares,leans,ahems,ideas,,,4
touns,tares,tonus,touns,,,,3
rusot,tares,skort,roist,rusot,,,4
listy,tares,shout,disty,fisty,listy,,5
hongs,tares,louis,ponks,bongs,dongs,hongs,6
oxboy,tares,noily,phoby,oxboy,,,4
morth,tares,forth,morth,,,,3
tappa,tares,talio,tangy,tahua,tampa,tappa,6
liver,tares,oiler,liber,lifer,liger,liker,0
tynes,tares,tones,tines,tunes,tynes,,5
purrs,tares,duros,burls,curfs,puris,purrs,6
rouen,tares,oiler,roked,rouen,,,4
lipse,tares,sline,lipse,,,,3
bungo,tares,noily,unbog,bungo,,,4
duces,tares,doles,dunes,duces,,,4
dross,tares,irous,prows,brogs,frons,cross,0
cease,tares,spale,chase,cease,,,4
shoop,tares,soily,scouk,shown,shood,shoop,6
beses,tares,doles,pikes,muxes,gyves,benes,0
knosp,tares,soily,unsod,knosp,,,4
soulx,tares,soily,soulx,,,,3
oxboy,tares,noily,phoby,oxboy,,,4
brawn,tares,crain,frawn,brawn,,,4
falls,tares,lanks,palis,balms,halfs,falus,0
write,tares,greit,brite,urite,write,,5
dukes,tares,doles,dunes,duces,dukes,,5
geyan,tares,plane,deman,began,geyan,,5
roles,tares,rides,rokes,robes,roles,,5
romas,tares,grabs,rimas,romas,,,4
miaou,tares,aloin,diazo,miaou,,,4
carbo,tares,cardy,carob,carbo,,,4
haida,tares,manly,cabio,haiku,haida,,5
cohob,tares,noily,mouch,cohob,,,4
